,Airline,Source City,Destination City,Stops,Price,Duration_in_Minutes,Next_day_Arrival,Departure_Part_of_the_day,Arrival_Part_of_the_day,Day,Days_priors_booking
0,Go First,New Delhi,Bangalore,Non Stop,7424.0,155.0,No,Eve,Night,Saturday,0
1,Go First,New Delhi,Bangalore,1 Stop,7424.0,540.0,Yes,Night,Early Morning,Saturday,0
2,Vistara,New Delhi,Bangalore,Non Stop,7425.0,160.0,No,Eve,Night,Saturday,0
3,SpiceJet,New Delhi,Bangalore,Non Stop,7425.0,165.0,Yes,Night,Late Night,Saturday,0
4,IndiGo,New Delhi,Bangalore,Non Stop,7425.0,165.0,Yes,Night,Late Night,Saturday,0
5,SpiceJet,New Delhi,Bangalore,Non Stop,7425.0,165.0,Yes,Night,Late Night,Saturday,0
6,Vistara,New Delhi,Bangalore,Non Stop,7425.0,170.0,No,Eve,Night,Saturday,0
7,IndiGo,New Delhi,Bangalore,Non Stop,7425.0,170.0,No,Eve,Night,Saturday,0
8,IndiGo,New Delhi,Bangalore,1 Stop,9788.0,695.0,Yes,Eve,Early Morning,Saturday,0
9,Vistara,New Delhi,Bangalore,1 Stop,9945.0,735.0,Yes,Eve,Early Morning,Saturday,0
10,Air India,New Delhi,Bangalore,1 Stop,10680.0,715.0,Yes,Eve,Early Morning,Saturday,0
11,Vistara,New Delhi,Bangalore,1 Stop,10680.0,785.0,Yes,Eve,Early Morning,Saturday,0
12,Air India,New Delhi,Bangalore,1 Stop,10680.0,1350.0,Yes,Eve,Eve,Saturday,0
13,Vistara,New Delhi,Bangalore,1 Stop,10680.0,1510.0,Yes,Eve,Eve,Saturday,0
14,Vistara,New Delhi,Bangalore,1 Stop,10785.0,720.0,Yes,Eve,Early Morning,Saturday,0
15,Vistara,New Delhi,Bangalore,1 Stop,10785.0,1445.0,Yes,Eve,Eve,Saturday,0
16,Air India,New Delhi,Bangalore,2 Stop(s),11629.0,1350.0,Yes,Eve,Eve,Saturday,0
17,Vistara,New Delhi,Bangalore,1 Stop,12098.0,900.0,Yes,Eve,Morning,Saturday,0
18,Vistara,New Delhi,Bangalore,1 Stop,12098.0,1320.0,Yes,Eve,Eve,Saturday,0
19,Vistara,New Delhi,Bangalore,1 Stop,12203.0,835.0,Yes,Eve,Morning,Saturday,0
20,Vistara,New Delhi,Bangalore,1 Stop,12203.0,1255.0,Yes,Eve,Eve,Saturday,0
21,Air Asia,New Delhi,Bangalore,1 Stop,7422.0,295.0,No,Noon,Eve,Sunday,1
22,Air Asia,New Delhi,Bangalore,1 Stop,7422.0,355.0,No,Noon,Night,Sunday,1
23,Air Asia,New Delhi,Bangalore,1 Stop,7422.0,365.0,No,Noon,Eve,Sunday,1
24,Go First,New Delhi,Bangalore,Non Stop,7424.0,155.0,No,Morning,Morning,Sunday,1
25,Go First,New Delhi,Bangalore,Non Stop,7424.0,155.0,No,Eve,Night,Sunday,1
26,Go First,New Delhi,Bangalore,1 Stop,7424.0,280.0,No,Early Morning,Noon,Sunday,1
27,Go First,New Delhi,Bangalore,1 Stop,7424.0,285.0,No,Early Morning,Noon,Sunday,1
28,Go First,New Delhi,Bangalore,1 Stop,7424.0,315.0,No,Early Morning,Noon,Sunday,1
29,Go First,New Delhi,Bangalore,1 Stop,7424.0,325.0,No,Noon,Eve,Sunday,1
30,Go First,New Delhi,Bangalore,1 Stop,7424.0,505.0,No,Morning,Night,Sunday,1
31,Go First,New Delhi,Bangalore,1 Stop,7424.0,540.0,Yes,Night,Early Morning,Sunday,1
32,Go First,New Delhi,Bangalore,1 Stop,7424.0,615.0,No,Morning,Eve,Sunday,1
33,Go First,New Delhi,Bangalore,1 Stop,7424.0,705.0,Yes,Eve,Early Morning,Sunday,1
34,Go First,New Delhi,Bangalore,1 Stop,7424.0,710.0,No,Early Morning,Eve,Sunday,1
35,Go First,New Delhi,Bangalore,1 Stop,7424.0,785.0,Yes,Eve,Early Morning,Sunday,1
36,Go First,New Delhi,Bangalore,1 Stop,7424.0,825.0,No,Early Morning,Night,Sunday,1
37,SpiceJet,New Delhi,Bangalore,Non Stop,7425.0,155.0,No,Early Morning,Early Morning,Sunday,1
38,IndiGo,New Delhi,Bangalore,Non Stop,7425.0,165.0,Yes,Night,Late Night,Sunday,1
39,IndiGo,New Delhi,Bangalore,Non Stop,7425.0,170.0,No,Eve,Night,Sunday,1
40,IndiGo,New Delhi,Bangalore,Non Stop,7425.0,175.0,No,Eve,Night,Sunday,1
41,SpiceJet,New Delhi,Bangalore,Non Stop,7425.0,185.0,No,Eve,Night,Sunday,1
42,IndiGo,New Delhi,Bangalore,Non Stop,7425.0,190.0,No,Early Morning,Morning,Sunday,1
43,Air Asia,New Delhi,Bangalore,Non Stop,7426.0,170.0,No,Early Morning,Morning,Sunday,1
44,Air Asia,New Delhi,Bangalore,Non Stop,7426.0,170.0,No,Eve,Night,Sunday,1
