,Airline,Date,Source City,Destination City,Departure Time,Arrival Time,Duration,Stops,Price
0,Go First,09-10-2021,New Delhi,Bangalore,19:45,22:20,2h 35m,Non Stop,"7,424"
1,Go First,09-10-2021,New Delhi,Bangalore,22:45,"07:45
+ 1 day",9h 00m,1 Stop,"7,424"
2,Vistara,09-10-2021,New Delhi,Bangalore,20:40,23:20,2h 40m,Non Stop,"7,425"
3,SpiceJet,09-10-2021,New Delhi,Bangalore,21:50,"00:35
+ 1 day",2h 45m,Non Stop,"7,425"
4,IndiGo,09-10-2021,New Delhi,Bangalore,22:20,"01:05
+ 1 day",2h 45m,Non Stop,"7,425"
5,SpiceJet,09-10-2021,New Delhi,Bangalore,22:40,"01:25
+ 1 day",2h 45m,Non Stop,"7,425"
6,Vistara,09-10-2021,New Delhi,Bangalore,19:50,22:40,2h 50m,Non Stop,"7,425"
7,IndiGo,09-10-2021,New Delhi,Bangalore,20:15,23:05,2h 50m,Non Stop,"7,425"
8,IndiGo,09-10-2021,New Delhi,Bangalore,19:15,"06:50
+ 1 day",11h 35m,1 Stop,"9,788"
9,Vistara,09-10-2021,New Delhi,Bangalore,20:35,"08:50
+ 1 day",12h 15m,1 Stop,"9,945"
10,Air India,09-10-2021,New Delhi,Bangalore,20:00,"07:55
+ 1 day",11h 55m,1 Stop,"10,680"
11,Vistara,09-10-2021,New Delhi,Bangalore,19:45,"08:50
+ 1 day",13h 05m,1 Stop,"10,680"
12,Air India,09-10-2021,New Delhi,Bangalore,20:00,"18:30
+ 1 day",22h 30m,1 Stop,"10,680"
13,Vistara,09-10-2021,New Delhi,Bangalore,19:45,"20:55
+ 1 day",25h 10m,1 Stop,"10,680"
14,Vistara,09-10-2021,New Delhi,Bangalore,20:50,"08:50
+ 1 day",12h 00m,1 Stop,"10,785"
15,Vistara,09-10-2021,New Delhi,Bangalore,20:50,"20:55
+ 1 day",24h 05m,1 Stop,"10,785"
16,Air India,09-10-2021,New Delhi,Bangalore,20:00,"18:30
+ 1 day",22h 30m,2 Stop(s),"11,629"
17,Vistara,09-10-2021,New Delhi,Bangalore,19:45,"10:45
+ 1 day",15h 00m,1 Stop,"12,098"
18,Vistara,09-10-2021,New Delhi,Bangalore,19:45,"17:45
+ 1 day",22h 00m,1 Stop,"12,098"
19,Vistara,09-10-2021,New Delhi,Bangalore,20:50,"10:45
+ 1 day",13h 55m,1 Stop,"12,203"
20,Vistara,09-10-2021,New Delhi,Bangalore,20:50,"17:45
+ 1 day",20h 55m,1 Stop,"12,203"
21,Air Asia,10-10-2021,New Delhi,Bangalore,15:40,20:35,4h 55m,1 Stop,"7,422"
22,Air Asia,10-10-2021,New Delhi,Bangalore,15:25,21:20,5h 55m,1 Stop,"7,422"
23,Air Asia,10-10-2021,New Delhi,Bangalore,14:30,20:35,6h 05m,1 Stop,"7,422"
24,Go First,10-10-2021,New Delhi,Bangalore,09:30,12:05,2h 35m,Non Stop,"7,424"
25,Go First,10-10-2021,New Delhi,Bangalore,19:45,22:20,2h 35m,Non Stop,"7,424"
26,Go First,10-10-2021,New Delhi,Bangalore,08:50,13:30,4h 40m,1 Stop,"7,424"
27,Go First,10-10-2021,New Delhi,Bangalore,08:40,13:25,4h 45m,1 Stop,"7,424"
28,Go First,10-10-2021,New Delhi,Bangalore,08:10,13:25,5h 15m,1 Stop,"7,424"
29,Go First,10-10-2021,New Delhi,Bangalore,14:20,19:45,5h 25m,1 Stop,"7,424"
30,Go First,10-10-2021,New Delhi,Bangalore,12:35,21:00,8h 25m,1 Stop,"7,424"
31,Go First,10-10-2021,New Delhi,Bangalore,22:45,"07:45
+ 1 day",9h 00m,1 Stop,"7,424"
32,Go First,10-10-2021,New Delhi,Bangalore,09:30,19:45,10h 15m,1 Stop,"7,424"
33,Go First,10-10-2021,New Delhi,Bangalore,20:00,"07:45
+ 1 day",11h 45m,1 Stop,"7,424"
34,Go First,10-10-2021,New Delhi,Bangalore,08:50,20:40,11h 50m,1 Stop,"7,424"
35,Go First,10-10-2021,New Delhi,Bangalore,18:40,"07:45
+ 1 day",13h 05m,1 Stop,"7,424"
36,Go First,10-10-2021,New Delhi,Bangalore,08:45,22:30,13h 45m,1 Stop,"7,424"
37,SpiceJet,10-10-2021,New Delhi,Bangalore,06:00,08:35,2h 35m,Non Stop,"7,425"
38,IndiGo,10-10-2021,New Delhi,Bangalore,22:20,"01:05
+ 1 day",2h 45m,Non Stop,"7,425"
39,IndiGo,10-10-2021,New Delhi,Bangalore,20:15,23:05,2h 50m,Non Stop,"7,425"
40,IndiGo,10-10-2021,New Delhi,Bangalore,18:45,21:40,2h 55m,Non Stop,"7,425"
41,SpiceJet,10-10-2021,New Delhi,Bangalore,20:05,23:10,3h 05m,Non Stop,"7,425"
42,IndiGo,10-10-2021,New Delhi,Bangalore,06:05,09:15,3h 10m,Non Stop,"7,425"
43,Air Asia,10-10-2021,New Delhi,Bangalore,08:00,10:50,2h 50m,Non Stop,"7,426"
44,Air Asia,10-10-2021,New Delhi,Bangalore,18:35,21:25,2h 50m,Non Stop,"7,426"
45,SpiceJet,10-10-2021,New Delhi,Bangalore,19:10,"17:35
+ 1 day",22h 25m,1 Stop,"7,741"
46,IndiGo,10-10-2021,New Delhi,Bangalore,16:25,19:15,2h 50m,Non Stop,"7,845"
47,Air Asia,10-10-2021,New Delhi,Bangalore,16:15,18:45,2h 30m,Non Stop,"7,997"
48,SpiceJet,10-10-2021,New Delhi,Bangalore,06:50,19:25,12h 35m,1 Stop,"8,371"
49,IndiGo,10-10-2021,New Delhi,Bangalore,13:35,19:50,6h 15m,1 Stop,"9,735"
50,IndiGo,10-10-2021,New Delhi,Bangalore,13:35,21:10,7h 35m,1 Stop,"9,735"
51,IndiGo,10-10-2021,New Delhi,Bangalore,11:35,19:50,8h 15m,1 Stop,"9,735"
52,IndiGo,10-10-2021,New Delhi,Bangalore,22:00,"06:50
+ 1 day",8h 50m,1 Stop,"9,735"
53,IndiGo,10-10-2021,New Delhi,Bangalore,11:35,21:10,9h 35m,1 Stop,"9,735"
54,IndiGo,10-10-2021,New Delhi,Bangalore,09:45,19:50,10h 05m,1 Stop,"9,735"
55,IndiGo,10-10-2021,New Delhi,Bangalore,22:00,"08:15
+ 1 day",10h 15m,1 Stop,"9,735"
56,IndiGo,10-10-2021,New Delhi,Bangalore,09:45,21:10,11h 25m,1 Stop,"9,735"
57,IndiGo,10-10-2021,New Delhi,Bangalore,19:15,"06:50
+ 1 day",11h 35m,1 Stop,"9,735"
58,IndiGo,10-10-2021,New Delhi,Bangalore,07:10,14:15,7h 05m,1 Stop,"9,788"
59,IndiGo,10-10-2021,New Delhi,Bangalore,11:35,17:40,6h 05m,1 Stop,"9,998"
60,IndiGo,10-10-2021,New Delhi,Bangalore,09:45,17:40,7h 55m,1 Stop,"9,998"
61,IndiGo,10-10-2021,New Delhi,Bangalore,07:10,17:40,10h 30m,1 Stop,"9,998"
62,IndiGo,10-10-2021,New Delhi,Bangalore,22:00,"09:35
+ 1 day",11h 35m,1 Stop,"9,998"
63,IndiGo,10-10-2021,New Delhi,Bangalore,09:45,17:35,7h 50m,2 Stop(s),"10,061"
64,IndiGo,10-10-2021,New Delhi,Bangalore,15:05,17:50,2h 45m,Non Stop,"10,313"
65,Go First,10-10-2021,New Delhi,Bangalore,16:10,"00:25
+ 1 day",8h 15m,1 Stop,"10,549"
66,IndiGo,10-10-2021,New Delhi,Bangalore,06:15,12:25,6h 10m,1 Stop,"10,575"
67,Go First,10-10-2021,New Delhi,Bangalore,14:10,20:40,6h 30m,1 Stop,"10,575"
